"Delete","წაშლა"
"Save","შენახვა"
"ID","ID"
"Name","სახელი"
"SKU","SKU"
"Price","ფასი"
"from","დან"
"to","მდე"
"Cancel","გაუქმება"
"No","არა"
"Yes","დიახ"
"Add New","ახლის დამატება"
"Back","უკან"
"Reset","განულება"
"Empty","ცარიელია"
"Change","შეცვლა"
"First Name","სახელი"
"Last Name","გვარი"
"Email","ელ. ფოსტა"
"Import","იმპორტი"
"Related Products","მსგავსი პროდუქტები"
"Quantity","რაოდენობა"
"Edit","რედაქტირება"
"Change Status","სტატუსის შეცვლა"
"Product","პროდუქტი"
"Home","მთავარი"
"N/A","არ არის"
"-- Please Select --","-- გთხოვთ, აირჩიოთ --"
"New Products","ახალი პროდუქტები"
"Categories","კატეგორიები"
"Products","პროდუქტები"
"%1 items","%1 ელემენტი"
"All","ყველა"
"Discount","ფასდაკლება"
"-- Please select --","-- გთხოვთ, აირჩიოთ --"
"Category","კატეგორია"
"Enabled","ჩართულია"
"Disabled","გამორთულია"
"Search","ძებნა"
"Message","შეტყობინება"
"message","შეტყობინება"
"Select...","აირჩიეთ..."
"Edit ","რედაქტირება"
"To","მდე"
"Required","სავალდებულო"
"Remove","წაშლა"
"Actions","მოქმედებები"
"name","სახელი"
"Qty","რაოდენობა"
"In Stock","მარაგშია"
"Out of Stock","მარაგში არ არის"
"Action","მოქმედება"
"{size}","{ზომა}"
"Select All","ყველას არჩევა"
"Unselect All","არჩევის გაუქმება"
"None","არცერთი"
"Add to Cart","კალათაში დამატება"
"In stock","მარაგშია"
"Out of stock","მარაგში არ არის"
"Add to Wish List","სასურველთა სიაში დამატება"
"Next","შემდეგი"
"Learn More","გაიგე მეტი"
"Add to Compare","შესადარებლად დამატება"
"select all","ყველას არჩევა"
"%1 Item","%1 ელემენტი"
"%1 Items","%1 ელემენტი"
"Show","ჩვენება"
"Sort By","დალაგების ტიპი"
"More Information","დამატებითი ინფორმაცია"
"Availability","ხელმისაწვდომობა"
"Ok","კარგი"
"OK","კარგი"
"unselect all","არჩევის გაუქმება"
"New products","ახალი პროდუქტები"
"Description","აღწერა"
"Change status","სტატუსის შეცვლა"
"Overview","მიმოხილვა"
"Details","დეტალები"
"Add To Cart","კალათაში დამატება"
"Add To Compare","შესადარებლად დამატება"
"Learn more","გაიგე მეტი"
