"Back","უკან"
"Reset","განულება"
"Message","შეტყობინება"
"Cancel","გაუქმება"
"ID","ID"
"Updated","განახლებული"
"Action","მოქმედება"
"Newsletter","სიახლეების გამოწერა"
"Please enter a valid email address.","გთხოვთ, შეიყვანოთ მოქმედი ელ. ფოსტის მისამართი."
"Cancelled","გაუქმებული"
" Copy","კოპირება"
"Enter your email address","შეიყვანეთ ელ. ფოსტის მისამართი"
"Subscribe","გამოწერა"
"Enabled","ჩართულია"
"Unsubscribe","გაუქმება"
"Delete","წაშლა"
"Email","ელ. ფოსტა"
"Store","მაღაზია"
"Newsletter Subscriptions","სიახლეების გამოწერები"
