"Country","ქვეყანა"
"Apply","გამოყენება"
"Amount","თანხა"
"Card Number","ბარათის ნომერი"
"Expiration Date","ვადის გასვლის თარიღი"
"--Please Select--","--გთხოვთ, აირჩიოთ--"
"Checkout","შეკვეთის გაფორმება"
"none","არცერთი"
"Credit Card","საკრედიტო ბარათი"
"Please agree to all the terms and conditions before placing the order.","შეკვეთის განთავსებამდე, გთხოვთ, დაეთანხმოთ ყველა წესს და პირობას."
"Actions","მოქმედებები"
"Delete","წაშლა"
"Close","დახურვა"
"Ok","კარგი"
"Shipping Method","მიწოდების მეთოდი"
"Shipping Address","მიწოდების მისამართი"
"Edit","რედაქტირება"
"Payment Method","გადახდის მეთოდი"
"Place Order","შეკვეთის განთავსება"
"First Name","სახელი"
"Last Name","გვარი"
"Store","მაღაზია"
"Total","სულ"
"Discount","ფასდაკლება"
"Shipping","მიწოდება"
"Tax","გადასახადი"
"Payment ","გადახდა"
"Merchant ID","გამყიდველის ID"
"Public Key","საჯარო გასაღები"
"Private Key","პირადი გასაღები"
"Merchant Name","გამყიდველის სახელი"
"Color","ფერი"
"Cart","კალათა"
"Name","სახელი"
"Phone","ტელეფონი"
"Transaction ID","ტრანზაქციის ID"
"Order ID","შეკვეთის ID"
"Created At","შექმნილია"
"Currency","ვალუტა"
