"Orders","შეკვეთები"
"Invoices","ინვოისები"
"Create New Order","ახალი შეკვეთის შექმნა"
"Shipping","მიწოდება"
"Cancel","გაუქმება"
"Billing Address","ანგარიშსწორების მისამართი"
"Payment Method","გადახდის მეთოდი"
"Account Information","ანგარიშის ინფორმაცია"
"From","დან"
"To","მდე"
"Message","შეტყობინება"
"ID","ID"
"Product","პროდუქტი"
"SKU","SKU"
"Price","ფასი"
"Select","აირჩიეთ"
"Quantity","რაოდენობა"
"Shipping Address","მიწოდების მისამართი"
"Shipping Method","მიწოდების მეთოდი"
"Shopping Cart","საყიდლების კალათა"
"Refund","თანხის დაბრუნება"
"Refund Offline","ოფლაინ დაბრუნება"
"Void","გაუქმება"
"Print","ამობეჭდვა"
"Credit Memo","საკრედიტო მემორანდუმი"
"Capture","ჩამოჭრა"
"Order Status","შეკვეთის სტატუსი"
"Edit","რედაქტირება"
"Invoice","ინვოისი"
"Reorder","შეკვეთის განმეორება"
"Update","განახლება"
"Order History","შეკვეთების ისტორია"
"Order Information","შეკვეთის ინფორმაცია"
"Shipments","გადაზიდვები"
"Transactions","ტრანზაქციები"
"Yes","დიახ"
"No","არა"
"Shopping cart","საყიდლების კალათა"
"Subtotal","ქვეჯამი"
"Discount","ფასდაკლება"
"Shipping & Handling","მიწოდება და დამუშავება"
"Grand Total","საერთო ჯამი"
"Back","უკან"
"N/A","არ არის"
"My Orders","ჩემი შეკვეთები"
"Home","მთავარი"
"Shipping Address: ","მიწოდების მისამართი: "
"Billing Address: ","ანგარიშსწორების მისამართი: "
"-- Please Select --","-- გთხოვთ, აირჩიოთ --"
"Pending","მოლოდინში"
"Canceled","გაუქმებული"
"Order","შეკვეთა"
"Order # ","შეკვეთა # "
"Order Date: ","შეკვეთის თარიღი: "
"Payment Method:","გადახდის მეთოდი:"
"Shipping Method:","მიწოდების მეთოდი:"
"Products","პროდუქტები"
"Qty","რაოდენობა"
"Tax","გადასახადი"
"Credit Memo # ","საკრედიტო მემორანდუმი # "
"Invoice # ","ინვოისი # "
"Excl. Tax","გადასახადის გარეშე"
"Incl. Tax","გადასახადის ჩათვლით"
"City","ქალაქი"
"Company","კომპანია"
"Country","ქვეყანა"
"Email","ელ. ფოსტა"
"First Name","სახელი"
"Last Name","გვარი"
"State/Province","რეგიონი / ოლქი"
"Street Address","ქუჩის მისამართი"
"Phone Number","ტელეფონის ნომერი"
"Zip/Postal Code","საფოსტო ინდექსი"
"Pending Payment","გადახდის მოლოდინში"
"Processing","მიმდინარე"
"On Hold","შეჩერებული"
"Complete","დასრულებული"
"Closed","დახურული"
"Suspected Fraud","სავარაუდოდ თაღლითური"
"Payment Review","გადახდის განხილვა"
"New","ახალი"
"View","ნახვა"
"Apply","გამოყენება"
"Remove","წაშლა"
"Order Total","შეკვეთის ჯამი"
"Same As Billing Address","იგივე, რაც ანგარიშსწორების მისამართი"
"Add New Address","ახალი მისამართის დამატება"
"Action","მოქმედება"
"Subtotal:","ქვეჯამი:"
"Please select","გთხოვთ, აირჩიოთ"
"Subscribe to Newsletter","სიახლეების გამოწერა"
"Refresh","განახლება"
"Item","ელემენტი"
"Payment Information","გადახდის ინფორმაცია"
"Shipping Information","მიწოდების ინფორმაცია"
"Tax Amount","გადასახადის თანხა"
"From:","დან:"
"To:","მდე:"
"Message:","შეტყობინება:"
"Amount","თანხა"
"Capture Online","ჩამოჭრა ონლაინ"
"Capture Offline","ჩამოჭრა ოფლაინ"
"Transaction ID","ტრანზაქციის ID"
"Order Date","შეკვეთის თარიღი"
"Order ID","შეკვეთის ID"
"Created At","შექმნილია"
"Items","ელემენტი"
"Tracking Number","თვალყურის დევნების ნომერი"
"ZIP Code","საფოსტო ინდექსი"
"Continue","გაგრძელება"
"Refund #","თანხის დაბრუნება #"
"Order #","შეკვეთა #"
"Date","თარიღი"
"Actions","მოქმედებები"
"Print Order","შეკვეთის ამობეჭდვა"
"Invoice #","ინვოისი #"
"Print Invoice","ინვოისის ამობეჭდვა"
"Close","დახურვა"
"Recent Orders","უახლესი შეკვეთები"
"View All","ყველას ნახვა"
"Add to Cart","კალათაში დამატება"
"Search","ძებნა"
"%name,","%სახელი,"
"Ok","კარგი"
"Create","შექმნა"
"Address","მისამართი"
"Dashboard","მთავარი გვერდი"
"Enabled","ჩართულია"
"Shipment","გადაზიდვა"
"Name","სახელი"
"Phone","ტელეფონი"
"Created","შექმნილი"
"Purchase Date","შეძენის თარიღი"
"Refunds","თანხის დაბრუნებები"
