"Sign Out","გასვლა"
"Sign In","შესვლა"
"Address Book","მისამართების წიგნი"
"Edit Address","მისამართის რედაქტირება"
"Add New Address","ახალი მისამართის დამატება"
"region","რეგიონი"
"Reset Password","პაროლის აღდგენა"
"Cancel","გაუქმება"
"Delete","წაშლა"
"Save","შენახვა"
"Back","უკან"
"Please select","გთხოვთ, აირჩიოთ"
"Reset","განულება"
"ID","ID"
"Product","პროდუქტი"
"SKU","SKU"
"Quantity","რაოდენობა"
"Price","ფასი"
"Total","სულ"
"Action","მოქმედება"
"Newsletter","სიახლეების გამოწერა"
"View","ნახვა"
"Unknown","უცნობი"
"Order #","შეკვეთა #"
"Order Total","შეკვეთის ჯამი"
"Qty","რაოდენობა"
"No","არა"
"Yes","დიახ"
"Download","ჩამოტვირთვა"
"Date of Birth","დაბადების თარიღი"
"Next","შემდეგი"
"Today","დღეს"
"Invalid login or password.","არასწორი მომხმარებელი ან პაროლი."
"Billing Address","ანგარიშსწორების მისამართი"
"Shipping Address","მიწოდების მისამართი"
"-- Please Select --","-- გთხოვთ, აირჩიოთ --"
"Something went wrong.","რაღაც შეცდომა მოხდა."
"Male","მამრობითი"
"Female","მდედრობითი"
"Street","ქუჩა"
"Select...","აირჩიეთ..."
"Edit","რედაქტირება"
"Delete address","მისამართის წაშლა"
"Personal Information","პირადი ინფორმაცია"
"Default Billing Address","ძირითადი ანგარიშსწორების მისამართი"
"Store","მაღაზია"
"Change","შეცვლა"
"Default Shipping Address","ძირითადი მიწოდების მისამართი"
"Account Information","ანგარიშის ინფორმაცია"
"Contact Information","საკონტაქტო ინფორმაცია"
"Change Password","პაროლის შეცვლა"
"My Account","ჩემი ანგარიში"
"Address","მისამართი"
"City","ქალაქი"
"First Name","სახელი"
"Last Name","გვარი"
"Street Address","ქუჩის მისამართი"
"Country","ქვეყანა"
"State","რეგიონი"
"Zip/Postal Code","საფოსტო ინდექსი"
"Phone","ტელეფონი"
"Actions","მოქმედებები"
"Email","ელ. ფოსტა"
"Current Password","ახლანდელი პაროლი"
"New Password","ახალი პაროლი"
"Confirm New Password","დაადასტურეთ ახალი პაროლი"
"Password","პაროლი"
"Forgot Your Password?","პაროლი დაგავიწყდა?"
"Sign-in Information","შესვლის ინფორმაცია"
"Confirm Password","დაადასტურეთ პაროლი"
"Create an Account","ანგარიშის შექმნა"
"Company","კომპანია"
"Name","სახელი"
"Phone Number","ტელეფონის ნომერი"
"VAT","დღგ"
"%name,","%სახელი,"
"Email:","ელ. ფოსტა:"
"Password:","პაროლი:"
"Email Address","ელ. ფოსტის მისამართი"
"Reset password","პაროლის აღდგენა"
"State/Province","რეგიონი / ოლქი"
"VAT Number","დღგ-ის ნომერი"
"Subscribe to Newsletter","სიახლეების გამოწერა"
"Gender","სქესი"
"Addresses","მისამართები"
