"Approve","დადასტურება"
"Back","უკან"
"Reject","უარყოფა"
"Save","შენახვა"
"Suspend","შეჩერება"
"Terminate","შეწყვეტა"
"An error occurred. Please try again.","მოხდა შეცდომა. გთხოვთ, სცადოთ თავიდან."
"Edit Merchant","გამყიდველის რედაქტირება"
"Merchants","გამყიდველები"
"A reason is required for termination.","შეწყვეტისთვის საჭიროა მიზეზი."
"Yes","დიახ"
"No","არა"
"N/A","არ არის"
"Invalid email address.","არასწორი ელ. ფოსტის მისამართი."
"Pending","მოლოდინში"
"Approved","დადასტურებული"
"Rejected","უარყოფილი"
"Active","აქტიური"
"Suspended","შეჩერებული"
"Terminated","შეწყვეტილი"
"not found","ვერ მოიძებნა"
"Edit","რედაქტირება"
"Delete","წაშლა"
"Company Name","კომპანიის სახელი"
"Company Code","კომპანიის კოდი"
"Tax ID","საიდენტიფიკაციო ნომერი"
"Email","ელ. ფოსტა"
"Phone","ტელეფონი"
"Description","აღწერა"
"Admin Note","ადმინისტრაციული შენიშვნა"
"Address","მისამართი"
"Street","ქუჩა"
"City","ქალაქი"
"Region","რეგიონი"
"Country","ქვეყანა"
"Account Holder Name","ანგარიშის მფლობელის სახელი"
"Bank Name","ბანკის სახელი"
"Commission Rate (%)","საკომისიოს განაკვეთი (%)"
"VAT Number","დღგ-ის ნომერი"
"Pickup Addresses","გატანის მისამართები"
"Add Merchant","გამყიდველის დამატება"
"Approve Merchants","გამყიდველების დადასტურება"
"Reject Merchants","გამყიდველების უარყოფა"
"ID","ID"
"Actions","მოქმედებები"
